disease_id,disease_name,drug_id,drug_name,overlap_score
C0011849,diabetes mellitus,CHEMBL607,meperidine,0.0
C0011849,diabetes mellitus,CHEMBL278623,macimorelin,0.0
C0011849,diabetes mellitus,CHEMBL606,misoprostol,0.0
C0011849,diabetes mellitus,CHEMBL688,fentanyl citrate,0.0
C0011849,diabetes mellitus,CHEMBL24072,prenylamine,0.0
C0011849,diabetes mellitus,CHEMBL690,pravastatin sodium,0.0
C0011849,diabetes mellitus,CHEMBL416956,mefloquine,0.0
C0011849,diabetes mellitus,CHEMBL802,minoxidil,0.0
C0011849,diabetes mellitus,CHEMBL799,cilostazol,0.0
C0011849,diabetes mellitus,CHEMBL284092,gepirone,0.0
C0011849,diabetes mellitus,CHEMBL34259,methotrexate,0.0
C0011849,diabetes mellitus,CHEMBL797,phensuximide,0.0
C0011849,diabetes mellitus,CHEMBL285674,estazolam,0.0
C0011849,diabetes mellitus,CHEMBL796,methylphenidate,0.0
C0011849,diabetes mellitus,CHEMBL32800,fenoterol,0.0
C0011849,diabetes mellitus,CHEMBL790,chlorhexidine,0.0
C0011849,diabetes mellitus,CHEMBL152,cidofovir anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL36506,novobiocin,0.0
C0011849,diabetes mellitus,CHEMBL788,idoxuridine,0.0
C0011849,diabetes mellitus,CHEMBL787,montelukast,0.0
C0011849,diabetes mellitus,CHEMBL786,tamoxifen citrate,0.0
C0011849,diabetes mellitus,CHEMBL32479,brotizolam,0.0
C0011849,diabetes mellitus,CHEMBL783,nateglinide,0.0
C0011849,diabetes mellitus,CHEMBL782,tolbutamide,0.0
C0011849,diabetes mellitus,CHEMBL290106,bithionol,0.0
C0011849,diabetes mellitus,CHEMBL781,mazindol,0.0
C0011849,diabetes mellitus,CHEMBL780,pentetic acid,0.0
C0011849,diabetes mellitus,CHEMBL33986,butorphanol,0.0
C0011849,diabetes mellitus,CHEMBL779,tadalafil,0.0
C0011849,diabetes mellitus,CHEMBL778,dexmedetomidine,0.0
C0011849,diabetes mellitus,CHEMBL777,clavulanic acid,0.0
C0011849,diabetes mellitus,CHEMBL776,metaproterenol,0.0
C0011849,diabetes mellitus,CHEMBL773,glycine,0.0
C0011849,diabetes mellitus,CHEMBL772,reserpine,0.0
C0011849,diabetes mellitus,CHEMBL154,naproxen,0.0
C0011849,diabetes mellitus,CHEMBL803,cytarabine,0.0
C0011849,diabetes mellitus,CHEMBL771,cycloserine,0.0
C0011849,diabetes mellitus,CHEMBL806,flutamide,0.0
C0011849,diabetes mellitus,CHEMBL831,loxapine,0.0
C0011849,diabetes mellitus,CHEMBL830,eflornithine,0.0
C0011849,diabetes mellitus,CHEMBL43128,primaquine phosphate,0.0
C0011849,diabetes mellitus,CHEMBL829,methylpromazine,0.0
C0011849,diabetes mellitus,CHEMBL827,dexmethylphenidate,0.0
C0011849,diabetes mellitus,CHEMBL826,enoxacin,0.0
C0011849,diabetes mellitus,CHEMBL822,terbinafine,0.0
C0011849,diabetes mellitus,CHEMBL821,guanidine,0.0
C0011849,diabetes mellitus,CHEMBL820,busulfan,0.0
C0011849,diabetes mellitus,CHEMBL290960,nifurtimox,0.0
C0011849,diabetes mellitus,CHEMBL819,oxacillin,0.0
C0011849,diabetes mellitus,CHEMBL818,iobenguane,0.0
C0011849,diabetes mellitus,CHEMBL817,tolazamide,0.0
C0011849,diabetes mellitus,CHEMBL38827,lumefantrine,0.0
C0011849,diabetes mellitus,CHEMBL39736,buformin,0.0
C0011849,diabetes mellitus,CHEMBL815,dinoprost,0.0
C0011849,diabetes mellitus,CHEMBL441738,afamelanotide,0.0
C0011849,diabetes mellitus,CHEMBL814,fluvoxamine,0.0
C0011849,diabetes mellitus,CHEMBL289469,granisetron,0.0
C0011849,diabetes mellitus,CHEMBL813,eprosartan,0.0
C0011849,diabetes mellitus,CHEMBL812,pyridostigmine bromide,0.0
C0011849,diabetes mellitus,CHEMBL37744,zimeldine,0.0
C0011849,diabetes mellitus,CHEMBL811,brompheniramine,0.0
C0011849,diabetes mellitus,CHEMBL810,temozolomide,0.0
C0011849,diabetes mellitus,CHEMBL809,sertraline,0.0
C0011849,diabetes mellitus,CHEMBL808,econazole,0.0
C0011849,diabetes mellitus,CHEMBL807,memantine,0.0
C0011849,diabetes mellitus,CHEMBL148,imipenem anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL770,tolazoline,0.0
C0011849,diabetes mellitus,CHEMBL115,indinavir anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL715,olanzapine,0.0
C0011849,diabetes mellitus,CHEMBL141,lamivudine,0.0
C0011849,diabetes mellitus,CHEMBL713,entecavir anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL712,anisindione,0.0
C0011849,diabetes mellitus,CHEMBL711,phenindione,0.0
C0011849,diabetes mellitus,CHEMBL710,finasteride,0.0
C0011849,diabetes mellitus,CHEMBL709,alfuzosin,0.0
C0011849,diabetes mellitus,CHEMBL708,ziprasidone,0.0
C0011849,diabetes mellitus,CHEMBL25202,tamibarotene,0.0
C0011849,diabetes mellitus,CHEMBL278819,minaprine,0.0
C0011849,diabetes mellitus,CHEMBL24828,vandetanib,0.0
C0011849,diabetes mellitus,CHEMBL707,doxazosin,0.0
C0011849,diabetes mellitus,CHEMBL282468,choline chloride,0.0
C0011849,diabetes mellitus,CHEMBL24778,silodosin,0.0
C0011849,diabetes mellitus,CHEMBL706,cetyl alcohol,0.0
C0011849,diabetes mellitus,CHEMBL705,alitretinoin,0.0
C0011849,diabetes mellitus,CHEMBL704,mesalamine,0.0
C0011849,diabetes mellitus,CHEMBL703,suxamethonium,0.0
C0011849,diabetes mellitus,CHEMBL702,piperacillin,0.0
C0011849,diabetes mellitus,CHEMBL701,baclofen,0.0
C0011849,diabetes mellitus,CHEMBL700,sulfapyridine,0.0
C0011849,diabetes mellitus,CHEMBL698,tetracaine,0.0
C0011849,diabetes mellitus,CHEMBL697,methsuximide,0.0
C0011849,diabetes mellitus,CHEMBL696,ethosuximide,0.0
C0011849,diabetes mellitus,CHEMBL695,trimethadione,0.0
C0011849,diabetes mellitus,CHEMBL692,glycerin,0.0
C0011849,diabetes mellitus,CHEMBL284348,dalfampridine,0.0
C0011849,diabetes mellitus,CHEMBL691,ethinyl estradiol,0.0
C0011849,diabetes mellitus,CHEMBL714,albuterol,0.0
C0011849,diabetes mellitus,CHEMBL716,quetiapine,0.0
C0011849,diabetes mellitus,CHEMBL768,esmolol,0.0
C0011849,diabetes mellitus,CHEMBL717,medroxyprogesterone acetate,0.0
C0011849,diabetes mellitus,CHEMBL766,cilastatin,0.0
C0011849,diabetes mellitus,CHEMBL765,guanethidine,0.0
C0011849,diabetes mellitus,CHEMBL762,oxymetazoline,0.0
C0011849,diabetes mellitus,CHEMBL761,naphazoline,0.0
C0011849,diabetes mellitus,CHEMBL760,anagrelide,0.0
C0011849,diabetes mellitus,CHEMBL754,foscarnet sodium,0.0
C0011849,diabetes mellitus,CHEMBL753,phenoxybenzamine,0.0
C0011849,diabetes mellitus,CHEMBL752,adenosine phosphate,0.0
C0011849,diabetes mellitus,CHEMBL750,zonisamide,0.0
C0011849,diabetes mellitus,CHEMBL748,pralidoxime chloride,0.0
C0011849,diabetes mellitus,CHEMBL746,nedocromil,0.0
C0011849,diabetes mellitus,CHEMBL744,riluzole,0.0
C0011849,diabetes mellitus,CHEMBL742,ketamine,0.0
C0011849,diabetes mellitus,CHEMBL741,lamotrigine,0.0
C0011849,diabetes mellitus,CHEMBL30219,methohexital sodium,0.0
C0011849,diabetes mellitus,CHEMBL738,thiopental sodium,0.0
C0011849,diabetes mellitus,CHEMBL734,acetohydroxamic acid,0.0
C0011849,diabetes mellitus,CHEMBL730,nitroglycerin,0.0
C0011849,diabetes mellitus,CHEMBL729,lopinavir,0.0
C0011849,diabetes mellitus,CHEMBL728,prochlorperazine,0.0
C0011849,diabetes mellitus,CHEMBL27193,dilevalol,0.0
C0011849,diabetes mellitus,CHEMBL727,thioguanine,0.0
C0011849,diabetes mellitus,CHEMBL726,fluphenazine,0.0
C0011849,diabetes mellitus,CHEMBL723,carvedilol,0.0
C0011849,diabetes mellitus,CHEMBL28318,propyphenazone,0.0
C0011849,diabetes mellitus,CHEMBL720,benzyl alcohol,0.0
C0011849,diabetes mellitus,CHEMBL719,mupirocin,0.0
C0011849,diabetes mellitus,CHEMBL584,nelfinavir,0.0
C0011849,diabetes mellitus,CHEMBL114,saquinavir,0.0
C0011849,diabetes mellitus,CHEMBL288470,aminopyrine,0.0
C0011849,diabetes mellitus,CHEMBL448,pentobarbital,0.0
C0011849,diabetes mellitus,CHEMBL455,sulfacetamide,0.0
C0011849,diabetes mellitus,CHEMBL454,butalbital,0.0
C0011849,diabetes mellitus,CHEMBL268869,sulfamethoxypyridazine,0.0
C0011849,diabetes mellitus,CHEMBL453,sulfisoxazole,0.0
C0011849,diabetes mellitus,CHEMBL452,clonazepam,0.0
C0011849,diabetes mellitus,CHEMBL266349,melagatran,0.0
C0011849,diabetes mellitus,CHEMBL451,chlordiazepoxide,0.0
C0011849,diabetes mellitus,CHEMBL450,metharbital,0.0
C0011849,diabetes mellitus,CHEMBL7863,aprobarbital,0.0
C0011849,diabetes mellitus,CHEMBL449,butabarbital,0.0
C0011849,diabetes mellitus,CHEMBL7728,hexobarbital,0.0
C0011849,diabetes mellitus,CHEMBL267894,amobarbital,0.0
C0011849,diabetes mellitus,CHEMBL7568,quinacrine,0.0
C0011849,diabetes mellitus,CHEMBL447,secobarbital,0.0
C0011849,diabetes mellitus,CHEMBL485,codeine,0.0
C0011849,diabetes mellitus,CHEMBL446,sulfamethazine,0.0
C0011849,diabetes mellitus,CHEMBL445,nortriptyline,0.0
C0011849,diabetes mellitus,CHEMBL42,clozapine,0.0
C0011849,diabetes mellitus,CHEMBL443,sulfamethoxazole,0.0
C0011849,diabetes mellitus,CHEMBL41,fluoxetine,0.0
C0011849,diabetes mellitus,CHEMBL40,phenobarbital,0.0
C0011849,diabetes mellitus,CHEMBL7413,methohexital,0.0
C0011849,diabetes mellitus,CHEMBL38,tretinoin,0.0
C0011849,diabetes mellitus,CHEMBL442,ergotamine,0.0
C0011849,diabetes mellitus,CHEMBL268164,cyclobarbital,0.0
C0011849,diabetes mellitus,CHEMBL441,thiopental,0.0
C0011849,diabetes mellitus,CHEMBL440,thiamylal,0.0
C0011849,diabetes mellitus,CHEMBL439,sulfadiazine,0.0
C0011849,diabetes mellitus,CHEMBL43,amsacrine,0.0
C0011849,diabetes mellitus,CHEMBL456,ethacrynic acid,0.0
C0011849,diabetes mellitus,CHEMBL267744,ticrynafen,0.0
C0011849,diabetes mellitus,CHEMBL457,gemfibrozil,0.0
C0011849,diabetes mellitus,CHEMBL481,irinotecan,0.0
C0011849,diabetes mellitus,CHEMBL480,lansoprazole,0.0
C0011849,diabetes mellitus,CHEMBL479,thioridazine,0.0
C0011849,diabetes mellitus,CHEMBL477,adenosine,0.0
C0011849,diabetes mellitus,CHEMBL476,dacarbazine,0.0
C0011849,diabetes mellitus,CHEMBL473,dofetilide,0.0
C0011849,diabetes mellitus,CHEMBL9225,hexestrol,0.0
C0011849,diabetes mellitus,CHEMBL471,sotalol,0.0
C0011849,diabetes mellitus,CHEMBL469,ketorolac,0.0
C0011849,diabetes mellitus,CHEMBL468,thalidomide,0.0
C0011849,diabetes mellitus,CHEMBL64,isoniazid,0.0
C0011849,diabetes mellitus,CHEMBL61,podofilox,0.0
C0011849,diabetes mellitus,CHEMBL467,hydroxyurea,0.0
C0011849,diabetes mellitus,CHEMBL59,dopamine,0.0
C0011849,diabetes mellitus,CHEMBL58,mitoxantrone,0.0
C0011849,diabetes mellitus,CHEMBL465,dronabinol,0.0
C0011849,diabetes mellitus,CHEMBL57,nevirapine,0.0
C0011849,diabetes mellitus,CHEMBL464,etretinate,0.0
C0011849,diabetes mellitus,CHEMBL463,aminohippuric acid,0.0
C0011849,diabetes mellitus,CHEMBL55,pentamidine,0.0
C0011849,diabetes mellitus,CHEMBL54,haloperidol,0.0
C0011849,diabetes mellitus,CHEMBL53,apomorphine,0.0
C0011849,diabetes mellitus,CHEMBL460,molindone,0.0
C0011849,diabetes mellitus,CHEMBL459,methyldopa,0.0
C0011849,diabetes mellitus,CHEMBL49,buspirone,0.0
C0011849,diabetes mellitus,CHEMBL46,ondansetron,0.0
C0011849,diabetes mellitus,CHEMBL45,melatonin,0.0
C0011849,diabetes mellitus,CHEMBL438,sulfamerazine,0.0
C0011849,diabetes mellitus,CHEMBL437,sulfathiazole,0.0
C0011849,diabetes mellitus,CHEMBL436,tolrestat,0.0
C0011849,diabetes mellitus,CHEMBL20,acetazolamide,0.0
C0011849,diabetes mellitus,CHEMBL417,epirubicin,0.0
C0011849,diabetes mellitus,CHEMBL18,ethoxzolamide,0.0
C0011849,diabetes mellitus,CHEMBL17,dichlorphenamide,0.0
C0011849,diabetes mellitus,CHEMBL416,methoxsalen,0.0
C0011849,diabetes mellitus,CHEMBL415,clomipramine,0.0
C0011849,diabetes mellitus,CHEMBL269732,tacrolimus anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL413,sirolimus,0.0
C0011849,diabetes mellitus,CHEMBL16,phenytoin,0.0
C0011849,diabetes mellitus,CHEMBL14,carbachol,0.0
C0011849,diabetes mellitus,CHEMBL267936,mecamylamine,0.0
C0011849,diabetes mellitus,CHEMBL411,diethylstilbestrol,0.0
C0011849,diabetes mellitus,CHEMBL13,metoprolol,0.0
C0011849,diabetes mellitus,CHEMBL12,diazepam,0.0
C0011849,diabetes mellitus,CHEMBL409,bicalutamide,0.0
C0011849,diabetes mellitus,CHEMBL408,troglitazone,0.0
C0011849,diabetes mellitus,CHEMBL407,flumazenil,0.0
C0011849,diabetes mellitus,CHEMBL406,indapamide,0.0
C0011849,diabetes mellitus,CHEMBL11,imipramine,0.0
C0011849,diabetes mellitus,CHEMBL6437,mianserin,0.0
C0011849,diabetes mellitus,CHEMBL6622,isosorbide dinitrate,0.0
C0011849,diabetes mellitus,CHEMBL405,amphetamine,0.0
C0011849,diabetes mellitus,CHEMBL9,norfloxacin,0.0
C0011849,diabetes mellitus,CHEMBL8,ciprofloxacin,0.0
C0011849,diabetes mellitus,CHEMBL404,tazobactam,0.0
C0011849,diabetes mellitus,CHEMBL403,sulbactam,0.0
C0011849,diabetes mellitus,CHEMBL6,indomethacin,0.0
C0011849,diabetes mellitus,CHEMBL5,nalidixic acid,0.0
C0011849,diabetes mellitus,CHEMBL19,methazolamide,0.0
C0011849,diabetes mellitus,CHEMBL419,mafenide,0.0
C0011849,diabetes mellitus,CHEMBL36,pyrimethamine,0.0
C0011849,diabetes mellitus,CHEMBL21,sulfanilamide,0.0
C0011849,diabetes mellitus,CHEMBL35,furosemide,0.0
C0011849,diabetes mellitus,CHEMBL435,hydrochlorothiazide,0.0
C0011849,diabetes mellitus,CHEMBL434,isoproterenol,0.0
C0011849,diabetes mellitus,CHEMBL433,valproate sodium,0.0
C0011849,diabetes mellitus,CHEMBL431,spirapril,0.0
C0011849,diabetes mellitus,CHEMBL430,gemifloxacin,0.0
C0011849,diabetes mellitus,CHEMBL33,levofloxacin anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL32,moxifloxacin,0.0
C0011849,diabetes mellitus,CHEMBL429,labetalol,0.0
C0011849,diabetes mellitus,CHEMBL31,gatifloxacin,0.0
C0011849,diabetes mellitus,CHEMBL30,cimetidine,0.0
C0011849,diabetes mellitus,CHEMBL428,trovafloxacin,0.0
C0011849,diabetes mellitus,CHEMBL29,penicillin g,0.0
C0011849,diabetes mellitus,CHEMBL427,mechlorethamine,0.0
C0011849,diabetes mellitus,CHEMBL6995,practolol,0.0
C0011849,diabetes mellitus,CHEMBL27,propranolol,0.0
C0011849,diabetes mellitus,CHEMBL425,olsalazine,0.0
C0011849,diabetes mellitus,CHEMBL423,betaxolol,0.0
C0011849,diabetes mellitus,CHEMBL422,trifluoperazine,0.0
C0011849,diabetes mellitus,CHEMBL25,aspirin,0.0
C0011849,diabetes mellitus,CHEMBL24,atenolol,0.0
C0011849,diabetes mellitus,CHEMBL23,diltiazem,0.0
C0011849,diabetes mellitus,CHEMBL6466,coumarin,0.0
C0011849,diabetes mellitus,CHEMBL421,sulfasalazine,0.0
C0011849,diabetes mellitus,CHEMBL6966,verapamil,0.0
C0011849,diabetes mellitus,CHEMBL22,trimethoprim,0.0
C0011849,diabetes mellitus,CHEMBL420,guanabenz,0.0
C0011849,diabetes mellitus,CHEMBL70,morphine,0.0
C0011849,diabetes mellitus,CHEMBL71,chlorpromazine,0.0
C0011849,diabetes mellitus,CHEMBL583,grepafloxacin,0.0
C0011849,diabetes mellitus,CHEMBL547,isotretinoin,0.0
C0011849,diabetes mellitus,CHEMBL110,benznidazole,0.0
C0011849,diabetes mellitus,CHEMBL277100,temafloxacin,0.0
C0011849,diabetes mellitus,CHEMBL109,valproic acid,0.0
C0011849,diabetes mellitus,CHEMBL108,carbamazepine,0.0
C0011849,diabetes mellitus,CHEMBL554,lapatinib,0.0
C0011849,diabetes mellitus,CHEMBL553,erlotinib,0.0
C0011849,diabetes mellitus,CHEMBL107,colchicine,0.0
C0011849,diabetes mellitus,CHEMBL550,pilocarpine,0.0
C0011849,diabetes mellitus,CHEMBL549,citalopram,0.0
C0011849,diabetes mellitus,CHEMBL14370,reboxetine,0.0
C0011849,diabetes mellitus,CHEMBL278020,neostigmine,0.0
C0011849,diabetes mellitus,CHEMBL548,dinoprostone,0.0
C0011849,diabetes mellitus,CHEMBL14376,iloperidone,0.0
C0011849,diabetes mellitus,CHEMBL106,fluconazole,0.0
C0011849,diabetes mellitus,CHEMBL72,desipramine,0.0
C0011849,diabetes mellitus,CHEMBL546,oxprenolol,0.0
C0011849,diabetes mellitus,CHEMBL545,alcohol,0.0
C0011849,diabetes mellitus,CHEMBL105,mitomycin,0.0
C0011849,diabetes mellitus,CHEMBL104,clotrimazole,0.0
C0011849,diabetes mellitus,CHEMBL544,mequinol,0.0
C0011849,diabetes mellitus,CHEMBL14060,phenol,0.0
C0011849,diabetes mellitus,CHEMBL539,acetic acid,0.0
C0011849,diabetes mellitus,CHEMBL537,hydroquinone,0.0
C0011849,diabetes mellitus,CHEMBL535,sunitinib,0.0
C0011849,diabetes mellitus,CHEMBL534,ketotifen,0.0
C0011849,diabetes mellitus,CHEMBL103,progesterone,0.0
C0011849,diabetes mellitus,CHEMBL533,ibutilide,0.0
C0011849,diabetes mellitus,CHEMBL532,erythromycin,0.0
C0011849,diabetes mellitus,CHEMBL556,deferoxamine,0.0
C0011849,diabetes mellitus,CHEMBL558,mexiletine,0.0
C0011849,diabetes mellitus,CHEMBL559,dextrothyroxine,0.0
C0011849,diabetes mellitus,CHEMBL111,rimonabant,0.0
C0011849,diabetes mellitus,CHEMBL582,isopropyl alcohol,0.0
C0011849,diabetes mellitus,CHEMBL580,lorazepam,0.0
C0011849,diabetes mellitus,CHEMBL578,enalapril,0.0
C0011849,diabetes mellitus,CHEMBL577,enalaprilat anhydrous,0.0
C0011849,diabetes mellitus,CHEMBL16080,trichloroethane,0.0
C0011849,diabetes mellitus,CHEMBL575,methicillin,0.0
C0011849,diabetes mellitus,CHEMBL573,niacin,0.0
C0011849,diabetes mellitus,CHEMBL15891,lindane,0.0
C0011849,diabetes mellitus,CHEMBL15870,indoprofen,0.0
C0011849,diabetes mellitus,CHEMBL572,nitrofurantoin,0.0
C0011849,diabetes mellitus,CHEMBL571,ketoprofen,0.0
C0011849,diabetes mellitus,CHEMBL570,triflupromazine,0.0
C0011849,diabetes mellitus,CHEMBL569,procaine,0.0
C0011849,diabetes mellitus,CHEMBL276520,indalpine,0.0
C0011849,diabetes mellitus,CHEMBL15677,fenclofenac,0.0
C0011849,diabetes mellitus,CHEMBL15770,sulindac,0.0
