diseaseid,disease_name,disease_type,drug_id,drug_name,drug_type,approval_status
C0002395,alzheimer's disease,disease,CHEMBL16073,phenacetin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL567,perphenazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL568,oxazepam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL15770,sulindac,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL15677,fenclofenac,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL276520,indalpine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL569,procaine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL570,triflupromazine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL571,ketoprofen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL572,nitrofurantoin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL15870,indoprofen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL15891,lindane,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL573,niacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL575,methicillin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL16080,trichloroethane,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL577,enalaprilat anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL578,enalapril,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL580,lorazepam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL582,isopropyl alcohol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL583,grepafloxacin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL114,saquinavir,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL115,indinavir anhydrous,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL584,nelfinavir,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL116,amprenavir,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL585,triamterene,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL16476,pronetalol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL118,celecoxib,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL119,trimetrexate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL588,fenoldopam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL589,ropinirole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL590,menadione,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL591,ethchlorvynol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL17157,terfenadine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL592,levorphanol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL593,delavirdine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL594,emedastine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL595,pioglitazone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL596,fentanyl,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL121,rosiglitazone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL17879,maralixibat chloride,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL17860,lofexidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL597,phentolamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL18442,plerixafor,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL18116,toloxatone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL599,meloxicam,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL600,acetylcysteine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL601,aminolevulinic acid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL602,cysteamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL19019,naltrexone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL603,zafirlukast,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL276568,"cefprozil anhydrous, (e)-",Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL122,rofecoxib,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL19236,moxonidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL604,cupric sulfate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL605,procainamide hydrochloride,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL606,misoprostol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL278623,macimorelin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL607,meperidine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL282052,methaqualone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL608,probucol,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL19299,loxoprofen,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL609,trientine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL19490,zomepirac,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL611,terazosin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL19393,levamfetamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL612,dextroamphetamine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL282724,sitaxentan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL614,pyrazinamide,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL19449,ibudilast,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL282042,saquinavir mesylate,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL615,penicillin v,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL617,cephalothin,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL125,miltefosine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL126,linezolid,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL620,clidinium,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL127,meropenem,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL621,trazodone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL622,etodolac,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL21333,pranlukast,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL623,nefazodone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL625,thiabendazole,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL21536,xanomeline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL626,naftifine,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL628,pentoxifylline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL629,amitriptyline,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL21869,dibromsalan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL24944,tribromsalan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL128,sumatriptan,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL631,propafenone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL632,betamethasone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL633,amiodarone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL634,alfentanil,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL635,prednisone,Small molecule,Investigational
C0002395,alzheimer's disease,disease,CHEMBL636,rivastigmine,Small molecule,Investigational
